Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","t","249800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","1.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1961","1961","kg/pc","0.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1961","1961","kg/1000 Int.$","2.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","t","333000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","2.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1962","1962","kg/pc","0.71","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1962","1962","kg/1000 Int.$","3.89","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","t","376800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","2.33","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1963","1963","kg/pc","0.79","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1963","1963","kg/1000 Int.$","4.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","t","555200","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","3.42","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1964","1964","kg/pc","1.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1964","1964","kg/1000 Int.$","6.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","t","574800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","3.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1965","1965","kg/pc","1.15","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1965","1965","kg/1000 Int.$","6.73","E","Estimated value",""
